record_id,file,volume,issue,kind,functional_class,article_title,author,pdf_pages,score,title_hits,danger,sanction,governance,child,exit,clinical,process_allegation,process_assessment,process_intervention,process_review,process_outcome,process_families_present
M-0026,recovered/corpus-v42/vol42/iss1/005-the-value-in-imperfect-endeavors-exploring-postcapitalist-and-prefigurative-practices-at-east-wind-intentional.txt,42,1,article,substantive,The Value in Imperfect Endeavors: Exploring Postcapitalist and Prefigurative Practices at East Wind Intentional Community,Olivia Chandler,36,485,0,26,12,209,16,101,19,6,0,4,8,24,4
M-0037,recovered/corpus-v42/vol42/iss2/004-interpersonal-elements-of-social-sustainability-in-intentional-communities.txt,42,2,article,substantive,Interpersonal Elements of Social Sustainability in Intentional Communities,Caitlyn R. Charles and Alison A. Ormsby,28,352,0,7,4,232,19,30,14,22,8,0,8,19,4
M-0025,recovered/corpus-v42/vol42/iss1/004-housing-in-contemporary-intentional-communities.txt,42,1,article,substantive,Housing in Contemporary Intentional Communities,Lucy Sargisson,14,173,0,10,6,25,32,23,17,2,0,10,4,6,4
M-0039,recovered/corpus-v42/vol42/iss2/006-the-ecstatic-communion-and-revelatory-foibles-of-sun-house-a-reflection.txt,42,2,article,substantive,The Ecstatic Communion and Revelatory Foibles of Sun House: A Reflection,Chris Roth,13,128,0,6,4,18,12,6,22,2,0,2,2,16,4
M-0027,recovered/corpus-v42/vol42/iss1/006-review-of-countercultural-crossover-growing-up-in-the-love-family.txt,42,1,book_review,substantive,Review of Countercultural Crossover: Growing Up in the Love Family,Deborah E. Altus,5,120,1,0,4,18,62,8,8,10,0,4,9,0,3
M-0038,recovered/corpus-v42/vol42/iss2/005-early-latter-day-saint-communalism-and-the-joseph-smith-papers.txt,42,2,article,substantive,Early Latter-day Saint Communalism and The Joseph Smith Papers,Matthew J. Grow,12,112,0,5,4,58,9,16,2,8,2,0,2,7,4
M-0031,recovered/corpus-v42/vol42/iss1/010-review-of-mix-cafe-a-memoir-of-laurieston-hall-1972-77-and-commune-on-the-moors-a-story-of-lifespan.txt,42,1,book_review,substantive,"Review of Mix CafÃ©: A Memoir of Laurieston Hall, 1972-77 and Commune on the Moors: A Story of Lifespan",William J. Metcalf,7,100,0,4,0,44,22,16,2,4,0,0,9,2,3
M-0029,recovered/corpus-v42/vol42/iss1/008-review-of-sex-and-sects-the-story-of-mormon-polygamy-shaker-celibacy-and-oneida-complex-marriage.txt,42,1,book_review,substantive,"Review of Sex and Sects: The Story of Mormon Polygamy, Shaker Celibacy, and Oneida Complex Marriage",Cheryl Coulthard,5,74,0,5,1,22,12,5,6,0,2,0,8,2,3
M-0028,recovered/corpus-v42/vol42/iss1/007-review-of-terrible-revolution-latter-day-saints-the-american-apocalypse.txt,42,1,book_review,substantive,Review of Terrible Revolution: Latter-day Saints & the American Apocalypse,Martha Bradley Evans,4,71,0,3,3,27,5,0,8,0,0,2,7,0,2
M-0040,recovered/corpus-v42/vol42/iss2/007-review-of-morganeering-or-the-triumph-of-the-trust-a-satirical-burlesque-on-the-worship-of-wealth.txt,42,2,book_review,substantive,"Review of Morganeering, Or the Triumph of the Trust: A Satirical Burlesque on the Worship of Wealth",Jonathan Baldwin,6,68,1,6,4,12,10,8,4,0,1,0,10,2,3
M-0044,recovered/corpus-v42/vol42/iss2/011-review-of-utopian-genderscapes-rhetorics-of-womens-work-in-the-early-industrial-age.txt,42,2,book_review,substantive,Review of Utopian Genderscapes: Rhetorics of Womenâ•Žs Work in the Early Industrial Age,Sarah J. Schuster,5,52,0,10,4,3,9,2,0,0,2,0,6,0,2
M-0032,recovered/corpus-v42/vol42/iss1/011-review-of-the-business-of-marketing-entrepreneurship-and-architecture-of-communal-societies-in-the-1960s-and-1.txt,42,1,book_review,substantive,"Review of The Business of Marketing, Entrepreneurship, and Architecture of Communal Societies in the 1960s and 1970s",Marc A. Rhorer,6,44,0,0,2,26,2,12,0,0,2,0,11,2,3
M-0030,recovered/corpus-v42/vol42/iss1/009-review-of-how-god-found-me-memoirs-of-an-american-guru.txt,42,1,book_review,substantive,Review of How God Found Me: Memoirs of an American Guru,Jennifer Greene,4,43,0,0,0,5,21,5,4,0,0,0,6,0,1
M-0042,recovered/corpus-v42/vol42/iss2/009-review-of-fourierist-networks-of-reform-the-social-networks-of-nineteenth-century-reformers.txt,42,2,book_review,substantive,Review of Fourierist Networks of Reform: The Social Networks of Nineteenth Century Reformers,Mitchell K. Jones,5,36,0,2,1,4,9,0,5,0,4,5,8,2,4
M-0043,recovered/corpus-v42/vol42/iss2/010-review-of-foodtopia-communities-in-pursuit-of-peace-love-homegrown-food.txt,42,2,book_review,substantive,"Review of Foodtopia: Communities in Pursuit of Peace, Love & Homegrown Food",Etta M. Madden,5,34,0,4,1,5,6,0,3,0,2,1,8,0,3
M-0041,recovered/corpus-v42/vol42/iss2/008-review-of-imagining-the-shakers-how-the-visual-culture-of-shaker-life-was-pictured-in-the-popular-illustrated.txt,42,2,book_review,substantive,Review of Imagining the Shakers: How the Visual Culture of Shaker Life Was Pictured in the Popular Illustrated Press of Nineteenth-Century America,Ashley Rattner,5,24,0,0,6,2,2,2,2,2,3,0,11,4,4
M-0022,recovered/corpus-v42/vol42/iss1/001-front-matter.txt,42,1,front_matter,metadata,Front Matter,,7,15,0,0,4,4,1,2,0,0,0,4,5,0,2
M-0034,recovered/corpus-v42/vol42/iss2/001-front-matter.txt,42,2,front_matter,metadata,Front Matter,,7,15,0,0,4,5,0,2,0,0,0,4,6,0,2
M-0023,recovered/corpus-v42/vol42/iss1/002-table-of-contents.txt,42,1,table_of_contents,metadata,Table of Contents,,3,4,0,0,1,0,1,1,0,0,0,0,1,0,1
M-0024,recovered/corpus-v42/vol42/iss1/003-from-the-editors.txt,42,1,editorial,metadata,From the Editors,"Heather Van Wormer, Thomas A. Guiler, and Cheryl Coulthard",3,4,0,0,1,1,0,1,0,0,0,0,3,0,1
M-0035,recovered/corpus-v42/vol42/iss2/002-table-of-contents.txt,42,2,table_of_contents,metadata,Table of Contents,,3,4,0,0,1,1,0,1,0,0,2,0,7,0,2
M-0036,recovered/corpus-v42/vol42/iss2/003-from-the-editors.txt,42,2,editorial,metadata,From the Editors,"Heather Van Wormer, Thomas A. Guiler, and Cheryl Coulthard",3,4,0,0,1,1,0,1,0,0,2,0,8,0,2
M-0033,recovered/corpus-v42/vol42/iss1/012-back-matter.txt,42,1,back_matter,metadata,Back Matter,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M-0045,recovered/corpus-v42/vol42/iss2/012-back-matter.txt,42,2,back_matter,metadata,Back Matter,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
